WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
members,2_2,1,0,CVCC
club's,1_1,1,0,CCVCC
an,1_1,1,0,VC
event?,1_1,NA,NA,NA
event,1_2,2,0,V
event,2_2,2,0,CVCC
currently,1_3,1,0,CV
currently,2_3,1,0,CVCC
currently,3_3,1,0,CV
news,1_1,1,0,CCVC
south,1_1,1,0,CVVC
election,1_3,2,0,VC
election,2_3,2,0,CVC
election,3_3,2,0,CVC
yesterday,1_3,1,3,CVC
yesterday,2_3,1,3,CVC
yesterday,3_3,1,3,CVC
there're:,3_3,NA,NA,NA
election:,1_3,2,0,CVC
election:,2_3,2,0,CVC
election:,3_3,2,0,CVC
surprising,1_3,2,0,CVC
surprising,2_3,2,0,CCVV
surprising,3_3,2,0,CVC
there're:,2_2,NA,NA,NA
percentage,1_3,2,0,CVC
percentage,2_3,2,0,CVC
percentage,3_3,2,0,CVC
enhanced,1_2,2,0,VC
enhanced,2_2,2,0,CVCCC
because:,1_2,2,0,CV
because:,2_2,2,0,CVC
wants,1_1,1,0,CVCC
mayor:,1_2,1,0,CVV
mayor:,2_2,1,0,CVC
has,1_1,1,0,CVC
light?,1_1,NA,NA,NA
right,1_1,1,0,CVVC
policy,1_3,1,0,CVC
policy,2_3,1,0,CV
policy,3_3,1,0,CV
peo?,2_2,NA,NA,NA
vote,1_1,1,0,CVVC
voted,1_2,1,0,CVV
voted,2_2,1,0,CVC
shows,1_1,1,0,CVVC
opposite,1_3,1,0,V
opposite,2_3,1,0,CV
opposite,3_3,1,0,CVC
government,1_3,1,0,CV
government,2_3,1,0,CVC
government,3_3,1,0,CVCC
candidate,1_3,1,0,CVC
candidate,2_3,1,0,CV
candidate,3_3,1,0,CVVC
candidates,1_3,1,0,CVC
candidates,2_3,1,0,CV
candidates,3_3,1,0,CVVC
they're,2_2,NA,NA,NA
almost,1_2,1,2,VC
almost,2_2,1,2,CVCC
they're,1_1,NA,NA,NA
non-government,1_4,12,0,CVC
non-government,2_4,12,0,CV
non-government,3_4,12,0,CVC
non-government,4_4,12,0,CVCC
our:,NA,NA,NA,NA
policy:,1_3,1,0,CVC
policy:,2_3,1,0,CV
policy:,3_3,1,0,CV
be:,1_1,1,0,CV
how:,1_1,1,0,CVV
adopted,1_3,2,0,V
adopted,2_3,2,0,CVC
adopted,3_3,2,0,CVC
easy,1_2,1,0,V
easy,2_2,1,0,CV
eat,1_1,1,0,VC
even,1_2,1,0,V
even,2_2,1,0,CVC
salty,1_2,1,0,CVC
salty,2_2,1,0,CV
sweet,1_1,1,0,CCVC
weather,1_2,1,0,CV
weather,2_2,1,0,CVC
air,1_1,1,0,VC
conditioner,1_4,2,0,CVC
conditioner,2_4,2,0,CV
conditioner,3_4,2,0,CV
conditioner,4_4,2,0,CVC
stand,1_1,1,0,CCVCC
hot,1_1,1,0,CVC
nowadays,1_3,1,3,CVV
